Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
822_AB_W11v4Dr1,822-PH-VAA-FW-1040B,"Install 3 revised manhole cover at underpass",TT_Task,,"PHVAA Finishing Works",06-Oct-2016,08-Oct-2016,2,06-Oct-2016,08-Oct-2016,2,0,0,0.00,31-May-2017,31-May-2017,01-Mar-2014,01-Mar-2014,1,4
822_AB_W11v4Dr1,822-PH-VAA-FW-1040C,"Water leakage at J tunnel",TT_Task,,"PHVAA Finishing Works",27-Jul-2016,30-Jul-2016,3,27-Jul-2016,30-Jul-2016,3,0,0,0.00,31-May-2017,31-May-2017,29-Nov-2017,29-Nov-2017,0,1
822_AB_W11v4Dr1,822-PH-VAA-FW-1040D,"Install aluminium louvre at link structure-7 nos.",TT_Task,,"PHVAA Finishing Works",25-Jul-2016,30-Jul-2016,5,25-Jul-2016,09-Aug-2016,15,0,10,200.00,31-May-2017,31-May-2017,01-Mar-2014,01-Mar-2014,0,1
822_AB_W11v4Dr1,822-PH-VAA-FW-1040E,"Modified working platform at CLP cable pits.",TT_Task,,"PHVAA Finishing Works",03-Oct-2016,05-Oct-2016,2,03-Oct-2016,17-Oct-2016,14,0,12,600.00,31-May-2017,31-May-2017,01-Mar-2014,01-Mar-2014,1,2
822_AB_W11v4Dr1,822-PH-VAA-FW-1040F,"Fix tunel duct defects and remove cables",TT_Task,,"PHVAA Finishing Works",25-Jul-2016,06-Aug-2016,12,25-Jul-2016,06-Aug-2016,12,0,0,0.00,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,2,2
822_AB_W11v4Dr1,822-PH-VAA-FW-1040G,"FSD underpass screeding & side drain cover level issue",TT_Task,,"PHVAA Finishing Works",15-Aug-2016,20-Aug-2016,5,12-Aug-2016,15-Aug-2016,3,-3,-2,-40.00,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,1,3
822_AB_W11v4Dr1,822-PH-VAA-FW-1040H,"Tunnel gate",TT_Task,,"PHVAA Finishing Works",09-Sep-2016,19-Sep-2016,10,23-Sep-2016,30-Sep-2016,7,14,-3,-30.00,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,1,3
822_AB_W11v4Dr1,822-PH-VAA-FW-1040J,"Relocate damper at underpass",TT_Task,,"PHVAA Finishing Works",14-Jul-2016,20-Jul-2016,6,14-Jul-2016,20-Jul-2016,6,0,0,0.00,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,0,1
822_AB_W11v4Dr1,822-PH-VAA-FW-1060,"Cat ladder for sump pump room",TT_Task,,"PHVAA Finishing Works",14-Nov-2016,15-Nov-2016,1,16-Oct-2016,17-Oct-2016,1,-29,0,0.00,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,1,2
822_AB_W11v4Dr1,822-PH-VAA-IS-1100,"J56-57 (2 bays) - Internal Structures - by surface team",TT_Task,,"Adit Internal Structures",20-Apr-2015,25-May-2015,35,13-Apr-2015,11-May-2016,394,-7,359,1025.71,31-May-2017,31-May-2017,29-Nov-2017,29-Nov-2017,0,1
822_AB_W11v4Dr1,822-PH-VA-FW-1010,"PHVA Degree 2 works by others (assumed period)",TT_Task,,"PHVA Finishing Works",20-Apr-2015,20-Jul-2015,91,10-Apr-2015,26-Jul-2016,473,-10,382,419.78,31-May-2017,31-May-2017,02-Jan-2018,02-Jan-2018,0,2
822_AB_W11v4Dr1,822-PH-VA-FW-1020,"PHVA Degree 3 works by others (assumed period)",TT_Task,,"PHVA Finishing Works",27-Jul-2016,18-Aug-2016,22,05-Jul-2016,26-Jul-2016,21,-22,-1,-4.55,31-May-2017,31-May-2017,02-Jan-2018,02-Jan-2018,1,1
822_AB_W11v4Dr1,822-PH-VA-FW-1030,"Finishing works after DC",TT_Task,,"PHVA Finishing Works",27-Jul-2016,24-Aug-2016,28,29-Jun-2016,26-Jul-2016,27,-28,-1,-3.57,31-May-2017,31-May-2017,02-Jan-2018,02-Jan-2018,1,1
822_AB_W11v4Dr1,822-PH-VA-FW-M-1030A,"Water leakage at K-tunnel",TT_Task,,"PHVA Finishing Works",01-Jul-2016,29-Jul-2016,28,01-Jul-2016,16-Aug-2016,46,0,18,64.29,31-May-2017,31-May-2017,29-Nov-2017,29-Nov-2017,0,2
