Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
823A_As-built,823A-D-CCT-FW-1030,"Formworks / Falsework - Response to comments and Resubmit",TT_Task,,"Design for Formworks and Falseworks for Box Tunnel",29-Feb-2012,13-Mar-2012,13,29-Feb-2012,13-Mar-2012,13,0,0,0.00,01-Jan-2017,01-Jan-2017,11-Jul-2014,11-Jul-2014,1,1
823A_As-built,823A-D-CCT-FW-1040,"Formworks / Falsework - Review & Approval Period (for resubmission) (by MTRC & related Government Authorities)",TT_Task,,"Design for Formworks and Falseworks for Box Tunnel",14-Mar-2012,14-Apr-2012,31,14-Mar-2012,14-Apr-2012,31,0,0,0.00,01-Jan-2017,01-Jan-2017,11-Jul-2014,11-Jul-2014,1,1
823A_As-built,823A-IF823B-10,"823B to complete East Culvert for 823A connection",TT_FinMile,,"Interface with Contract 823B",31-Jan-2014,31-Jan-2014,0,24-Mar-2013,24-Mar-2013,,-313,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,0,0
823A_As-built,823A-COTATUTS-10,"Close out the temporary access opening at Tse Uk Tsuen Shaft",TT_Task,,"Close Out Temporary Access at Tse Uk Tsuen Shaft",10-Mar-2016,05-Apr-2016,26,11-Feb-2016,16-Mar-2016,34,-28,8,30.77,01-Jan-2017,01-Jan-2017,15-Apr-2017,15-Apr-2017,2,1
823A_As-built,823A-MS-E5-1010-E7,"Complete excavation of the cut and cover tunnels Box 6A",TT_FinMile,,"Milestone E7",30-Sep-2013,30-Sep-2013,0,21-Sep-2013,21-Sep-2013,,-9,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-E6-1010-E4,"Complete the Box 7B northern cut and cover tunnels to facilitate construction of temporary Kam Tin Nullah above",TT_FinMile,,"Milestone E4",06-Nov-2012,06-Nov-2012,0,06-Nov-2012,06-Nov-2012,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-E11-1010,"Complete all reinstatement works of the Works Areas",TT_FinMile,,"Milestone E11",31-Mar-2017,31-Mar-2017,0,,,,0,,,31-Mar-2017,31-Mar-2017,12-Oct-2014,12-Oct-2014,3,0
823A_As-built,823A-MS-E4-1010-E3,"Complete excavation of the cut and cover tunnels Box 6B",TT_FinMile,,"Milestone E3",31-May-2013,31-May-2013,0,09-Dec-2012,09-Dec-2012,,-173,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-E9-1010,"Complete backfilling of the cut & cover tunnel except Box 6A & 7A",TT_FinMile,,"Milestone E9",24-Oct-2016,24-Oct-2016,0,30-Jun-2016,30-Jun-2016,,-116,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,2,0
823A_As-built,823A-MS-E10-1010,"Reinstate the Kam Tin Nullah near Wang Toi Shan Shan Tsuen Road and complete gauging stations",TT_FinMile,,"Milestone E10",01-Jul-2016,01-Jul-2016,0,31-Jul-2016,31-Jul-2016,,30,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-E7-1010-E6,"Complete the Box 6B northern cut and cover tunnels to Degree 1",TT_FinMile,,"Milestone E6",09-May-2014,09-May-2014,0,31-Dec-2013,31-Dec-2013,,-129,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-E2-1010,"Complete the temporary base slab of the northern TBM launching shaft",TT_FinMile,,"Milestone E2",31-May-2012,31-May-2012,0,31-May-2012,31-May-2012,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-E3-1010-E5,"Complete temporary diversion of Kam Tin Nullah near Wang Toi Shan Shan Tsuen Road",TT_FinMile,,"Milestone E5",31-May-2013,31-May-2013,0,19-Jan-2013,19-Jan-2013,,-132,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-E1-1010,"Complete temporary diversion of Wang Toi Shan Shan Tsuen Road",TT_FinMile,,"Milestone E1",15-Dec-2011,15-Dec-2011,0,15-Dec-2011,15-Dec-2011,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-E8-1010,"Complete the Box 6A northern cut and cover tunnels to Degree 1",TT_FinMile,,"Milestone E8",08-Feb-2014,08-Feb-2014,0,28-Dec-2013,28-Dec-2013,,-42,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,KD-2,"Completion of the Whole of the Works",TT_FinMile,,"Contractual Dates",31-Dec-2016,31-Dec-2016,0,31-Dec-2016,31-Dec-2016,,0,,,31-Mar-2017,31-Mar-2017,12-Jun-2017,12-Jun-2017,8,0
823A_As-built,KD-1,"Commencement of works",TT_Mile,,"Contractual Dates",19-Jul-2010,19-Jul-2010,0,19-Jul-2010,19-Jul-2010,,0,,,01-Jan-2017,01-Jan-2017,05-Jan-2014,05-Jan-2014,0,31
823A_As-built,823A-MS-I2-1010,"Complete pumping test",TT_FinMile,,"Milestone I2",29-Feb-2012,29-Feb-2012,0,29-Feb-2012,29-Feb-2012,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-I3-1010,"Complete 30% of excavation",TT_FinMile,,"Milestone I3",04-May-2012,04-May-2012,0,04-May-2012,04-May-2012,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
