ID,Activity ID,Activity Name,Project ID,Project Name,Activity type,Parent WBS ID,Resources,Resource IDs,Primary Resource,Schedule % Complete,Activity Status,Planned Start,Actual Start,Planned Finish,Actual Finish,Predecessor Details,Predecessors,Successor Details,Successors,Project Week Planned Start,Project Week Actual Start,Project Week Planned Finish,Project Week Actual Finish,Project Month Planned Start,Project Month Actual Start,Project Month Planned Finish,Project Month Actual Finish,Activity nth Percentile Rank by Start Date,Total Float,Full Path,In Degree Original,Out Degree Original,Betweeness Centrality Original,Forward Reach Original,Reverse Reach Original,Duration Original,Critical Path Index Original,Page Rank Original,In Degree Normalized,Out Degree Normalized,Betweeness Centrality Normalized,Forward Reach Normalized,Reverse Reach Normalized,Duration Normalized,Critical Path Index Normalized,Page Rank Normalized
1-2269,SI20BBT8-25,"COMMISSIONING AUX. TRANSFORMER 20BBT01",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,07/03/2023,,13/03/2023,,"SI20BAT8-10 FS,SI20BFA8-25 FS,SI20BBA8-36 SS,SI-PM-40 FS,SI20BAT8-25 FS,SI20BUK8-50 FS","SI20BAT8-10,SI20BFA8-25,SI20BBA8-36,SI-PM-40,SI20BAT8-25,SI20BUK8-50","SI20CHA8-25 FS,SI20B--8-50 FS,SI20CH-8A25 FS,SI20UBA8G25 SS","SI20CHA8-25,SI20B--8-50,SI20CH-8A25,SI20UBA8G25",135,,136,,31,,31,,92,16,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2270,SI20BBT4-25,"TRANSPORT AUX. TRANSFORMER 20BBT",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,21/07/2022,,19/08/2022,,"SI--LOG4-30 FS,SI20BBT3B80 FS,SI20BAT4-25 SS","SI--LOG4-30,SI20BBT3B80,SI20BAT4-25","SI20BBT7-15 FS,SI20BBT4-40 FS","SI20BBT7-15,SI20BBT4-40",102,,106,,23,,24,,74,584,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2271,SI20PAA2-62,"(DF) INPUT FOR MS3 COOLING TOWER COARSE SCREEN 20PAA (MPA)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,06/05/2021,06/05/2021,06/05/2021,06/05/2021,"SI--PAC2B85 FS","SI--PAC2B85","SI--URD2-60 FS","SI--URD2-60",39,39,39,39,9,9,9,9,11,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2272,SI20UTG5-74,"(H) START PLACING FORMWORK 20UTG07",5121,"HK1003-Rev.0E-3",TT_Mile,"55902",-,-,-,0,TK_NotStart,17/04/2022,,17/04/2022,,"SI-----5-21& FS,SI20UTG2-92 FS,SI20UTG5-70.01 FS,SI20UTG5-70 SS","SI-----5-21&,SI20UTG2-92,SI20UTG5-70.01,SI20UTG5-70","SI20UTG5-72.00 FS","SI20UTG5-72.00",89,,89,,20,,20,,58,2120,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2273,SI20SGC8-25,"COLD COMMISSIONING SPRAY DELUGE SYSTEM UNDER ELECTRICAL MODULES 20UBA76xx/77xx/7410/73xx/7210/7110 20SGC",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,14/02/2023,,20/02/2023,,"SI20SGC6J15 FS,SI-PM-40 FS,SI20UBA8G27 SS","SI20SGC6J15,SI-PM-40,SI20UBA8G27","SI20B--8-50 FS,SI20SGM8-25 SS","SI20B--8-50,SI20SGM8-25",132,,133,,30,,31,,90,408,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2274,SI20M--7A15,"ELECTRICAL ERECTION FOR MKC01/MBJ01",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,11/07/2022,,28/08/2022,,"SI20MBJ7-10 FS,SI20MBJ7-11 FF","SI20MBJ7-10,SI20MBJ7-11","SI20M--8-25 FS,SI20BZK7D11# FF,SI20BZK7D11# SS,SI20BFT8-79 FS","SI20M--8-25,SI20BZK7D11#,SI20BZK7D11#,SI20BFT8-79",101,,108,,23,,25,,73,1704,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2275,SI--BAW2-74,"TENDER BOQ IN- / OUTDOOR GROUNDING",5121,"HK1003-Rev.0E-3",TT_Mile,"55902",-,-,-,0,TK_NotStart,01/12/2021,,01/12/2021,,"SI--BZP2-92 FS,SI--BAW2-13 FS","SI--BZP2-92,SI--BAW2-13","SI--BAW2-75 SS","SI--BAW2-75",69,,69,,16,,16,,40,1560,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2276,SI20HB-4A41,"(OTD-OS) ON SITE MAIN STEEL STRUCTURE HRSG20 (FRAME / CASING)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,0,TK_NotStart,06/01/2022,,06/01/2022,,"SI20HB-4A26 FS","SI20HB-4A26","SI20HA-6-20 FS,SI20HB-6A17 FS,SI20HA-6-56 FS,SI20HB-6C28 FS","SI20HA-6-20,SI20HB-6A17,SI20HA-6-56,SI20HB-6C28",74,,74,,17,,17,,44,136,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2277,SI20HB-3A81,"(RFS) READY FOR SHIPMENT MAIN STEEL STRUCTURE HRSG20 (Incl. Installation Material)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,0,TK_NotStart,02/12/2021,,02/12/2021,,"SI20HB-4B10 FS","SI20HB-4B10","SI20HB-4A26 FS,SI--HB-2B05 FS","SI20HB-4A26,SI--HB-2B05",69,,69,,16,,16,,40,136,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2278,SI20UBA4H25,"TRANSPORT ELECTRICAL MODULES 20UBA7910/20",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,03/06/2022,,28/07/2022,,"SP20UBA3H80 FS","SP20UBA3H80","SI--CKA4-25 FS,SI20UBA4B40 FS","SI--CKA4-25,SI20UBA4B40",95,,103,,22,,24,,68,584,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
