Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
822_AB_W11v4,822-SY-P-1100,"P1 centre wall",TT_Task,,"Centre Dividing Wall",11-Nov-2014,20-Nov-2014,9,04-Jul-2014,11-Jul-2014,7,-130,-2,-22.22,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,1
822_AB_W11v4,822-SY-P-1220,"Interface Centre wall with Type M",TT_Task,,"Centre Dividing Wall",31-Dec-2014,08-Jan-2015,8,17-Nov-2014,21-Nov-2014,4,-44,-4,-50.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,1
822_AB_W11v4,822-SY-P-1110,"P02 OHVD slab",TT_Task,,"OHVD Slab",10-Dec-2014,19-Dec-2014,9,30-Aug-2014,03-Sep-2014,4,-102,-5,-55.56,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,3,1
822_AB_W11v4,822-SY-P-1120,"P01 OHVD slab",TT_Task,,"OHVD Slab",26-Nov-2014,05-Dec-2014,9,06-Aug-2014,14-Aug-2014,8,-112,-1,-11.11,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,2
822_AB_W11v4,822-SY-P-1130,"Lining and 500th OHVD Slab (P03A-P04)",TT_Task,,"OHVD Slab",31-Oct-2014,28-Nov-2014,28,21-Jun-2014,28-Jul-2014,37,-132,9,32.14,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,4
822_AB_W11v4,822-SY-P-1140,"P03 OHVD slab",TT_Task,,"OHVD Slab",27-Nov-2014,06-Dec-2014,9,19-Jul-2014,06-Aug-2014,18,-131,9,100.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,2
822_AB_W11v4,822-SY-P-1190,"Nozzle structure",TT_Task,,"Internal Structures",22-Dec-2014,08-Jan-2015,17,10-Nov-2014,20-Nov-2014,10,-42,-7,-41.18,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,3
822_AB_W11v4,822-SY-P-1200,"P01 OHVD wall",TT_Task,,"Internal Structures",22-Dec-2014,10-Jan-2015,19,17-Nov-2014,22-Nov-2014,5,-35,-14,-73.68,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,3
822_AB_W11v4,822-SY-P-1210,"P02 OHVD wall",TT_Task,,"Internal Structures",27-Dec-2014,10-Jan-2015,14,22-Nov-2014,26-Nov-2014,4,-35,-10,-71.43,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,3
822_AB_W11v4,822-SY-P-1185,"Bay P1 & P2 Falsework Removal",TT_Task,,"Internal Structures",01-Nov-2014,12-Nov-2014,11,25-Oct-2014,08-Nov-2014,14,-7,3,27.27,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,3
822_AB_W11v4,822-SY-P-1230,"Dismantle formwork and steel deck for P04",TT_Task,,"Removal of Temporary Works",01-Sep-2014,06-Sep-2014,5,29-Jul-2014,07-Aug-2014,9,-34,4,80.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,1
822_AB_W11v4,822-SY-P-1240,"Dismantle formwork and steel deck for P03A",TT_Task,,"Removal of Temporary Works",03-Oct-2014,09-Oct-2014,6,01-Sep-2014,10-Sep-2014,9,-32,3,50.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,1
822_AB_W11v4,822-SY-P-1250,"Dismantle formwork and steel deck for P03",TT_Task,,"Removal of Temporary Works",14-Oct-2014,20-Oct-2014,6,18-Sep-2014,23-Sep-2014,5,-26,-1,-16.67,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,1
822_AB_W11v4,822-SY-P-1260,"Dismantle formwork and steel deck for P02",TT_Task,,"Removal of Temporary Works",23-Oct-2014,29-Oct-2014,6,15-Sep-2014,31-Oct-2014,46,-38,40,666.67,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,1
822_AB_W11v4,822-SY-P-1270,"Dismantle formwork and steel deck for P01",TT_Task,,"Removal of Temporary Works",28-Oct-2014,03-Nov-2014,6,15-Sep-2014,08-Nov-2014,54,-43,48,800.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,1
822_AB_W11v4,822-SY-P-1280,"Evacuation walkways",TT_Task,,"Walkways and Derailment Kerbs",10-Oct-2014,16-Oct-2014,6,22-Sep-2014,27-Nov-2014,66,-18,60,1000.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,6,4
822_AB_W11v4,822-SY-P-1290,"Side access walkways",TT_Task,,"Walkways and Derailment Kerbs",13-Oct-2014,18-Oct-2014,5,22-Sep-2014,27-Nov-2014,66,-21,61,1220.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,2
822_AB_W11v4,822-SY-P-1300,"Derailment kerbs",TT_Task,,"Walkways and Derailment Kerbs",13-Oct-2014,18-Oct-2014,5,22-Sep-2014,28-Nov-2014,67,-21,62,1240.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,2
822_AB_W11v4,822-SY-P-1150,"End wall at chg 130944",TT_Task,,"End Wall & Lining",07-Oct-2014,20-Oct-2014,13,21-May-2014,05-Jun-2014,15,-139,2,15.38,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,2
822_AB_W11v4,822-SY-P-1160,"P01 lining",TT_Task,,"End Wall & Lining",06-Dec-2014,29-Dec-2014,23,20-Aug-2014,22-Oct-2014,63,-108,40,173.91,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,3
822_AB_W11v4,822-SY-P-1170,"P02 lining",TT_Task,,"End Wall & Lining",10-Oct-2014,30-Oct-2014,20,01-Sep-2014,16-Oct-2014,45,-39,25,125.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,4
822_AB_W11v4,822-SY-P-1180,"P03 lining",TT_Task,,"End Wall & Lining",08-Dec-2014,30-Dec-2014,22,21-Aug-2014,15-Sep-2014,25,-109,3,13.64,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,2
822_AB_W11v4,822-PH-2A2-1020,"Crown Rebar fixing and removal of work platform",TT_Task,,"Crown Lining",01-Sep-2014,12-Sep-2014,11,22-Apr-2014,10-May-2014,18,-132,7,63.64,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,2
822_AB_W11v4,822-PH-2A2-1050,"Group 1 Crown Formwork",TT_Task,,"Crown Lining",21-Oct-2014,29-Oct-2014,8,19-Jun-2014,17-Jul-2014,28,-124,20,250.00,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,2,1
822_AB_W11v4,822-PH-2A2-1060,"Group 2 Crown Formwork",TT_Task,,"Crown Lining",25-Oct-2014,03-Nov-2014,9,23-Jun-2014,18-Jul-2014,25,-124,16,177.78,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,1
822_AB_W11v4,822-PH-2A2-1070,"Group 3 Crown Formwork",TT_Task,,"Crown Lining",30-Oct-2014,07-Nov-2014,8,26-Jun-2014,19-Jul-2014,23,-126,15,187.50,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,1
822_AB_W11v4,822-PH-2A2-1080,"Stop end scaffold + formwork and preparation",TT_Task,,"Crown Lining",08-Nov-2014,14-Nov-2014,6,21-Jul-2014,24-Jul-2014,3,-110,-3,-50.00,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,1
822_AB_W11v4,822-PH-2A2-1090,"Crown concrete pour",TT_Task,,"Crown Lining",15-Nov-2014,15-Nov-2014,0,25-Jul-2014,25-Jul-2014,,-113,,,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,1
822_AB_W11v4,822-PH-2A2-1100,"Remove formwork and megashor",TT_Task,,"Crown Lining",17-Nov-2014,25-Nov-2014,8,26-Jul-2014,02-Aug-2014,7,-114,-1,-12.50,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,2
822_AB_W11v4,822-PH-2A2-1030,"Planning and preparations",TT_Task,,"Crown Lining",13-Sep-2014,20-Oct-2014,37,11-May-2014,18-Jun-2014,38,-125,1,2.70,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,1
