Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
821_RMP_B_R3_May15MP,821011122,"Resubmit CBAR",TT_Task,,"Blasting Permit (Part I) - Adit",12-Oct-2010,26-Oct-2010,14,12-Oct-2010,29-Oct-2010,17,0,3,21.43,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011851,"Comment Blasting MS and Blasting Permit",TT_Task,,"Blasting Permit (Part I) - Adit",05-Nov-2010,25-Nov-2010,20,05-Nov-2010,02-Dec-2010,27,0,7,35.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011852,"Resubmit Blasting MS and Blasting Permit",TT_Task,,"Blasting Permit (Part I) - Adit",02-Dec-2010,15-Dec-2010,13,02-Dec-2010,22-Dec-2010,20,0,7,53.85,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011861,"Comment BMP",TT_Task,,"Blasting Permit (Part I) - Adit",05-Jan-2011,25-Jan-2011,20,05-Jan-2011,14-Jan-2011,9,0,-11,-55.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011862,"Resubmit BMP",TT_Task,,"Blasting Permit (Part I) - Adit",15-Jan-2011,28-Jan-2011,13,15-Jan-2011,26-Jan-2011,11,0,-2,-15.38,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011123,"Approve CBAR",TT_Task,,"Blasting Permit (Part I) - Adit",05-Nov-2010,25-Nov-2010,20,05-Nov-2010,02-Dec-2010,27,0,7,35.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,3,1
821_RMP_B_R3_May15MP,821011853,"Approve Blasting MS and Blasting Permit",TT_Task,,"Blasting Permit (Part I) - Adit",25-Jan-2011,14-Feb-2011,20,25-Jan-2011,16-Feb-2011,22,0,2,10.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011863,"Approve BMP",TT_Task,,"Blasting Permit (Part I) - Adit",25-Jan-2011,14-Feb-2011,20,25-Jan-2011,16-Feb-2011,22,0,2,10.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,2,1
821_RMP_B_R3_May15MP,821011100,"Appoint independent RPEngineer(Geotechnical) RPE(G) to carry out detail inspection",TT_Task,,"Blasting Permit (Part I) - Adit",19-Jul-2010,07-Aug-2010,19,19-Jul-2010,02-Aug-2010,14,0,-5,-26.32,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,2
821_RMP_B_R3_May15MP,821011110,"RPE(G) to advise the monitor rqd. during blasting and allowable PPV geotechnical features",TT_Task,,"Blasting Permit (Part I) - Adit",02-Aug-2010,14-Sep-2010,43,02-Aug-2010,21-Sep-2010,50,0,7,16.28,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011120,"Prepare own blasting assessment report(CBAR)",TT_Task,,"Blasting Permit (Part I) - Adit",23-Aug-2010,14-Sep-2010,22,23-Aug-2010,24-Sep-2010,32,0,10,45.45,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011850,"Prepare Blasting MS for application of blasting licences and blasting permits from COM",TT_Task,,"Blasting Permit (Part I) - Adit",23-Aug-2010,11-Sep-2010,19,23-Aug-2010,05-Nov-2010,74,0,55,289.47,31-May-2015,31-May-2015,10-May-2016,10-May-2016,2,2
821_RMP_B_R3_May15MP,821011860,"Prepare Blasting Management Plan (BMP) & submit plan to GEO for comment",TT_Task,,"Blasting Permit (Part I) - Adit",17-Dec-2010,10-Jan-2011,24,17-Dec-2010,14-Jan-2011,28,0,4,16.67,31-May-2015,31-May-2015,10-May-2016,10-May-2016,2,1
821_RMP_B_R3_May15MP,821011121,"Comment CBAR",TT_Task,,"Blasting Permit (Part I) - Adit",24-Sep-2010,14-Oct-2010,20,24-Sep-2010,12-Oct-2010,18,0,-2,-10.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012135,"Prepare Mode A store licence",TT_Task,,"Explosive Magazine",20-Dec-2010,19-Jan-2011,30,20-Dec-2010,24-Jan-2011,35,0,5,16.67,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012145,"Comment Mode A store licence",TT_Task,,"Explosive Magazine",27-Jan-2011,16-Feb-2011,20,27-Jan-2011,25-Mar-2011,57,0,37,185.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012155,"Resubmit Mode A store licence",TT_Task,,"Explosive Magazine",26-Mar-2011,09-Apr-2011,14,26-Mar-2011,11-Apr-2011,16,0,2,14.29,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012165,"Approve Mode A store licence",TT_Task,,"Explosive Magazine",12-Apr-2011,02-May-2011,20,12-Apr-2011,20-May-2011,38,0,18,90.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821016400,"Submit Design Report to MTRC",TT_Task,,"Adit Portal Section - Permanent Support",23-Jul-2012,04-Sep-2012,43,23-Jul-2012,12-Aug-2013,385,0,342,795.35,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821016410,"RDO/GEO Consultation and MTRC review",TT_Task,,"Adit Portal Section - Permanent Support",13-Aug-2013,09-Sep-2013,27,13-Aug-2013,21-Sep-2013,39,0,12,44.44,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821016420,"Resubmit Design report",TT_Task,,"Adit Portal Section - Permanent Support",23-Sep-2013,15-Oct-2013,22,23-Sep-2013,27-Sep-2013,4,0,-18,-81.82,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821016430,"RDO/GEO Consultation and MTRC Approve",TT_Task,,"Adit Portal Section - Permanent Support",30-Sep-2013,27-Oct-2013,27,30-Sep-2013,24-May-2014,236,0,209,774.07,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821016440,"Issue drawings for construction",TT_Task,,"Adit Portal Section - Permanent Support",26-May-2014,31-May-2014,5,26-May-2014,31-May-2014,5,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
